,AAPL,AIG,AMZN,AXP,BA,BAC,CAJ,CAT,CL,CMCSA,COP,CSCO,CVC,CVS,CVX,DD,DELL,F,GD,GE,GS,GSK,HD,HMC,HPQ,IBM,JPM,K,KMB,KO,LMT,MAR,MCD,MMM,MSFT,MTU,NAV,NOC,NVS,PEP,PFE,PG,R,RTN,SAP,SNE,SNY,TM,TOT,TWX,TXN,UN,VLO,WAG,WFC,WMT,XOM,XRX,YHOO
2009-04-13,114.91,23.4,78.94,18.92,32.56,10.82,31.94,28.95,25.72,13.04,24.89,16.58,9.0,27.89,56.84,22.08,10.11,4.01,38.48,10.34,122.48,22.82,22.71,28.29,31.73,90.69,30.53,33.59,39.84,19.3,60.52,17.17,47.83,46.9,17.11,5.39,35.91,34.74,30.86,44.31,11.02,40.7,21.23,35.87,35.81,25.84,21.27,78.27,36.35,18.07,15.25,16.38,17.02,26.02,17.81,45.39,59.5,4.8,14.42
2009-04-14,113.08,25.05,77.22,17.04,32.47,9.91,30.95,28.55,25.19,12.59,24.59,16.61,8.52,27.5,55.67,21.95,10.13,4.05,38.41,9.81,108.33,22.94,22.17,27.15,31.36,90.07,27.81,33.61,39.83,19.08,59.8,16.87,46.73,46.54,16.9,5.32,35.31,34.69,30.54,43.51,10.9,40.04,21.39,35.83,35.5,25.4,20.65,75.43,35.39,17.96,15.4,15.8,16.97,25.78,16.55,45.03,59.22,4.82,14.07
2009-04-15,112.44,26.37,74.71,19.07,32.93,10.25,30.99,28.83,25.52,13.06,24.67,16.27,8.58,27.27,55.77,22.57,9.87,3.8,38.73,10.08,114.05,23.5,22.46,27.77,32.03,89.69,29.49,34.11,40.52,19.43,60.97,16.59,45.99,47.24,16.45,5.36,35.28,35.19,30.55,44.78,11.33,41.31,21.61,35.99,35.97,25.0,20.95,76.68,35.28,18.23,15.11,16.25,17.24,25.9,17.71,45.18,59.61,4.9,14.02
2009-04-16,116.08,27.86,77.25,19.13,33.65,10.15,30.87,28.93,26.04,13.41,24.72,16.75,8.83,28.4,55.13,23.34,10.52,3.92,39.82,10.46,114.05,23.49,22.72,27.7,33.64,92.03,30.11,34.45,41.06,19.46,63.63,17.18,46.63,48.14,17.26,5.19,36.21,36.42,30.77,44.71,11.36,42.73,22.06,36.9,36.03,25.19,21.18,76.26,34.97,19.46,15.81,16.08,17.78,27.1,17.62,44.73,58.97,5.18,14.43
2009-04-17,117.97,26.7,78.05,20.17,33.59,10.41,30.93,28.55,26.75,13.15,24.96,16.67,9.07,28.11,55.2,23.41,10.7,3.77,40.7,10.56,113.49,23.32,22.83,28.36,33.36,91.89,30.13,34.33,41.44,19.43,63.11,17.47,47.81,47.31,16.77,5.22,37.49,36.9,30.12,44.86,11.57,43.77,22.3,36.24,35.38,26.37,21.09,76.71,34.69,19.04,15.97,15.78,17.93,26.77,18.35,44.22,58.39,5.33,14.39
2009-04-20,115.18,21.26,77.57,17.55,31.98,7.87,30.2,26.95,26.6,12.66,23.57,16.04,8.24,27.24,53.41,22.02,9.97,3.47,39.67,9.67,108.23,22.91,22.0,27.87,31.87,91.12,26.89,33.9,41.17,19.13,62.11,16.38,47.16,45.69,16.25,4.79,34.7,36.27,29.41,42.91,11.11,42.98,20.99,35.15,34.41,25.7,21.04,75.37,33.22,18.05,15.39,15.36,16.58,26.85,15.4,43.4,57.12,4.82,13.66
2009-04-21,116.38,24.06,78.74,18.1,32.13,8.6,30.32,27.76,26.65,12.96,24.05,16.39,8.45,28.25,54.25,23.11,10.21,3.58,40.63,9.97,113.27,23.57,22.63,28.01,32.56,92.83,29.47,34.27,41.2,18.6,62.37,16.74,47.42,46.85,16.57,5.08,34.71,36.95,29.38,42.47,11.05,43.53,21.41,35.03,35.14,26.23,21.13,76.04,34.17,18.22,15.2,15.62,16.82,27.31,17.04,43.89,57.94,5.0,14.38
2009-04-22,116.14,23.57,79.2,17.97,32.7,8.11,30.19,28.7,26.24,12.76,23.65,16.16,8.5,28.32,53.31,22.85,10.28,4.03,42.17,10.06,113.39,22.33,22.89,28.21,31.87,93.05,28.89,33.69,41.06,18.53,61.39,17.37,46.24,46.65,16.4,4.85,34.67,36.88,29.22,41.29,10.66,42.39,22.6,35.21,35.46,25.53,21.08,77.85,33.8,18.31,15.68,15.22,16.92,26.63,16.47,43.13,56.64,5.1,14.48
2009-04-23,119.86,24.72,80.61,19.39,33.25,8.66,30.74,28.7,26.12,12.36,24.81,16.33,8.35,27.65,54.79,22.61,10.37,4.23,43.28,10.12,115.57,22.19,22.53,28.07,31.95,92.02,30.08,33.48,40.72,18.52,63.45,19.51,47.14,47.66,16.52,4.91,34.53,37.72,30.34,41.21,10.86,42.15,22.67,37.55,36.92,25.88,21.36,79.55,35.64,17.83,15.41,15.65,17.57,26.18,18.19,43.04,57.48,5.17,14.55
2009-04-24,118.43,24.06,84.46,23.39,33.94,8.94,30.65,29.74,26.21,12.62,25.61,17.07,8.47,27.8,55.69,23.7,10.69,4.71,43.0,10.32,114.15,22.37,23.02,28.18,32.9,90.81,30.24,33.34,40.67,18.47,63.22,19.78,46.29,50.11,18.26,5.25,34.14,37.71,30.4,41.75,10.77,42.31,23.7,37.36,38.14,26.61,21.57,80.47,37.34,18.31,15.89,15.76,17.9,26.39,19.38,42.17,58.24,5.36,14.73
2009-04-27,119.22,23.08,83.12,22.41,34.6,8.76,29.94,29.53,26.3,12.5,25.49,17.02,8.34,27.98,54.69,22.65,10.73,4.81,44.83,10.3,113.77,24.06,22.64,27.52,32.58,90.69,29.69,33.16,40.91,18.23,64.03,18.77,46.45,50.42,17.82,5.27,36.16,37.66,30.08,42.26,11.03,42.71,22.7,38.3,36.61,26.31,21.9,78.15,36.46,17.6,15.52,15.64,17.12,26.09,18.39,42.73,57.85,5.05,13.89
2009-04-28,118.43,22.09,82.4,22.33,34.06,8.0,29.31,28.99,26.13,12.89,25.29,17.3,8.14,28.79,55.18,22.66,10.52,4.89,44.25,10.23,113.56,23.31,22.81,27.51,32.55,92.49,29.7,33.55,41.11,18.25,63.26,18.41,46.48,49.72,17.41,5.33,35.07,37.25,30.59,43.06,10.95,42.47,22.33,38.3,37.02,25.77,21.85,76.5,36.82,17.85,15.2,15.96,17.19,26.76,17.64,42.69,58.68,5.13,13.64
2009-04-29,119.61,23.24,79.79,23.07,35.55,8.52,29.63,29.79,26.45,13.85,25.79,17.84,8.78,28.8,56.49,23.08,10.88,5.13,46.63,10.41,119.68,23.84,23.04,27.97,33.5,94.4,31.23,33.82,40.92,18.43,64.86,20.25,46.38,50.57,17.69,5.49,36.96,37.53,31.29,43.41,10.98,43.09,23.17,39.35,35.3,26.14,23.08,77.89,37.41,18.02,15.54,16.41,16.91,27.77,18.09,44.44,59.87,5.31,14.02
2009-04-30,120.27,22.75,80.52,23.32,35.11,8.77,30.21,31.46,26.14,14.05,25.47,17.9,8.88,29.72,55.27,22.98,11.24,5.63,45.17,10.78,120.93,23.77,23.02,28.92,33.07,93.65,29.89,36.05,40.53,18.58,64.41,20.89,45.42,50.64,17.69,5.42,37.8,37.32,31.27,42.82,10.92,42.25,24.41,38.56,34.96,25.86,23.1,78.72,36.51,17.9,16.15,16.11,16.38,28.03,18.12,44.39,58.32,5.5,14.29
2009-05-01,121.62,22.75,78.96,22.46,36.12,8.54,32.04,32.95,27.2,14.86,26.41,18.14,9.04,30.17,55.91,22.95,11.46,5.36,45.8,10.81,119.59,23.65,22.54,29.12,33.57,94.92,29.43,37.15,41.03,18.33,66.92,20.08,44.67,50.88,17.68,5.48,40.19,38.08,31.24,42.85,11.1,42.3,25.3,38.93,34.45,26.41,23.12,78.73,37.82,18.73,16.05,16.19,17.05,28.12,17.76,44.09,59.5,5.8,14.14
2009-05-04,126.23,24.06,79.77,25.23,36.97,10.19,32.83,34.03,27.58,15.13,27.26,18.07,9.4,29.95,55.76,24.21,11.88,5.53,47.21,11.16,126.25,23.91,22.93,30.13,34.14,96.35,32.42,37.89,41.51,18.63,65.9,21.27,44.98,51.41,17.63,5.78,42.65,38.57,31.82,42.25,11.43,43.58,26.46,40.04,35.83,27.23,23.55,81.14,38.91,20.04,16.41,17.07,18.04,28.11,21.96,44.78,59.66,5.9,14.18
